"CCG_CODE","ONS_CCG_CODE","TOTAL_ALL","TOTAL_MALE","TOTAL_FEMALE","MALE_0-4","MALE_5-9","MALE_10-14","MALE_15-19","MALE_20-24","MALE_25-29","MALE_30-34","MALE_35-39","MALE_40-44","MALE_45-49","MALE_50-54","MALE_55-59","MALE_60-64","MALE_65-69","MALE_70-74","MALE_75-79","MALE_80-84","MALE_85-89","MALE_90-94","MALE_95+","FEMALE_0-4","FEMALE_5-9","FEMALE_10-14","FEMALE_15-19","FEMALE_20-24","FEMALE_25-29","FEMALE_30-34","FEMALE_35-39","FEMALE_40-44","FEMALE_45-49","FEMALE_50-54","FEMALE_55-59","FEMALE_60-64","FEMALE_65-69","FEMALE_70-74","FEMALE_75-79","FEMALE_80-84","FEMALE_85-89","FEMALE_90-94","FEMALE_95+"
"06L","E38000086",401932,199816,202116,10835,11811,11474,11667,10523,11873,12438,12490,12763,14392,14714,13184,11800,12892,10015,7275,5236,3085,1090,259,10404,11222,10882,11002,10306,12079,11904,11771,12383,14234,14523,13223,12118,13378,10536,8009,6476,4547,2328,791
"06M","E38000063",237472,118425,119047,6144,6595,6078,6580,6844,7457,6942,6601,6934,8252,8403,7745,7262,8434,7002,4951,3368,1944,715,174,5805,6328,5925,6241,6353,6866,6422,6035,6746,8123,8408,7676,7618,8684,7342,5276,4234,3012,1436,517
"06N","E38000079",635938,315770,320168,20279,21710,19186,18006,15875,19493,21519,24219,24868,24978,24272,19993,15836,14589,11149,8053,6244,3692,1488,321,19748,20595,18434,17226,16097,20623,23026,24385,23371,23670,22705,18885,15550,15645,12312,9767,8203,5868,2983,1075
"06P","E38000102",229450,117523,111927,9062,9079,7969,7107,7278,9271,10190,10076,8570,8138,7515,6194,4846,3942,2859,2422,1743,870,322,70,8470,8651,7450,6790,7756,9714,10050,8701,7149,6928,6637,5408,4432,3821,3146,2703,2115,1271,548,187
"06Q","E38000106",385617,190528,195089,11046,11759,11277,11346,10470,11332,11525,11732,12955,14585,14456,12310,10966,11663,9150,6128,4384,2402,879,163,10089,11212,10691,10489,10397,11856,11774,12294,13150,14777,14239,12322,11120,12350,9577,7058,5376,3805,1867,646
"06T","E38000117",343122,168025,175097,9622,9972,9060,10051,11689,10669,9650,9688,10155,11695,11532,10279,9233,10941,9097,6537,4507,2533,925,190,9123,9498,8647,9468,11914,10634,10007,10032,10327,11698,11833,10486,9994,11931,9826,7364,5731,3906,2009,669
"06V","E38000124",172056,84181,87875,3672,4199,4222,4407,4055,3998,3792,3879,4623,5856,6165,5932,5914,7292,6112,4261,3183,1802,678,139,3566,3978,3912,4258,3743,3810,3894,3984,4768,5975,6378,6358,6488,7725,6203,4677,3739,2651,1305,463
"06W","E38000131",217459,108158,109301,6046,5970,4970,5873,9575,9297,8782,7927,7560,7516,7088,5889,5086,5293,3987,3057,2265,1363,498,116,5715,5615,4774,6184,11601,9420,8200,7086,6450,6701,6454,5710,5313,5505,4312,3525,3037,2262,1074,363
"06Y","E38000159",235782,116475,119307,6454,6828,6433,6774,5894,6586,6589,6599,7211,8492,8728,7672,6843,7962,6647,4798,3279,1856,693,137,6378,6337,5976,6362,5852,6679,6682,6713,7481,8565,8742,7810,7255,8379,6738,5084,3893,2673,1274,434
"07G","E38000185",172272,85245,87027,6434,6437,5630,5222,5025,5629,6040,6104,6227,6463,6150,4857,4018,4022,2756,1908,1257,764,265,37,5949,6222,5207,5020,5103,6249,6821,6516,6166,6181,5781,4628,3934,4121,3073,2338,1755,1192,598,173
